Tank,Treatment,Date,Slide.Number,Geoduck.ID,Sex,Stage_Trigg,Stage_Crandall
3,Ambient,123,11,1,M,2,2
3,Ambient,123,12,4,M,5,5
3,Ambient,123,13,5,M,2,2
3,Ambient,123,14,13,F,6,6
3,Ambient,123,15,17,F,7,7
4,Ambient,123,16,041,M,4,5
4,Ambient,123,17,044,M,5,5
4,Ambient,123,18,045,F,6,6
4,Ambient,123,19,050,F,6,6
4,Ambient,123,20,052,F,7,7
1,Low,123,1,018,M,4,3
1,Low,123,2,016,M,3,3
1,Low,123,3,006,F,5,5
1,Low,123,4,003,M,4,4
1,Low,123,5,013,M,4,4
2,Low,123,10,040,M,2,4
2,Low,123,6,023,M,1,1
2,Low,123,7,028,F,6,6
2,Low,123,8,034,F,5,5
2,Low,123,9,037,M,4,4
3,Ambient,221,14,14,F,5,6
3,Ambient,221,15,15,M,5,5
3,Ambient,221,3,3,F,NA,NA
3,Ambient,221,6,6,F,7,7
3,Ambient,221,7,7,F,5,6
3,Ambient,221,8,8,F,7,6
4,Ambient,221,42,042,M,5,NA
4,Ambient,221,53,053,F,5,6
4,Ambient,221,56,056,M,4,NA
4,Ambient,221,57,057,F,6,6
4,Ambient,221,59,059,F,7,7
4,Ambient,221,60,060,F,5,6
1,Low,221,2,002,M,5,5
1,Low,221,7,007,M,5,4
1,Low,221,9,009,F,6,7
1,Low,221,12,012,M,4,4
1,Low,221,14,014,M,3,2
1,Low,221,15,015,F,5,6
1,Low,221,20,020,M,3,4
2,Low,221,25,025,F,5,6
2,Low,221,26,026,M,5,4
2,Low,221,29,029,M,5,5
2,Low,221,32,032,M,3,NA
2,Low,221,38,038,M,2,NA
