Effect,,,Spermatozoa (sqrt),,,,Spermatocytes (sqrt),,,,Lumen (sqrt),,
,,,,,,,,,,,,,
,,df,F,P,,df,F,P,,df,F,P,
,,,,,,,,,,,,,
time,,"1,87",26.814,< 0.0001,,"1,87",3.92,0.00224,,"1,87",4.523,0.0363,
treatment,,"1,87",0.853,0.358,,"1,87",8.638,0.00422,,"1,87",5.275,0.024,
treatment × time,,"1,87",1.793,0.184,,"1,87",2.417,0.12363,,"1,87",0.119,0.7305,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,raw model,,,,Raw model,,,,Raw model,,,
levenes,,0.0005668,,,levenes,0.00103,,,levenes,0.3056,,,
shapiro ,,< 0.00001,,,shapiro ,<0.00001,,,shapiro ,<0.00001,,,
,,,,,,,,,,,,,
TRANSFORMED,,sqrt,log +1(zero values),,,sqrt,log +1 (zero values),,,sqrt,log (no zero values),,
levenes,,0.01417,0.01417,,levenes,0.04616,0.04616,,levenes,0.2546,0.1186,,
shapiro,,0.516,0.00004096,,shapiro ,0.1551,0.00103,,shapiro ,<0.00001,0.003473,,
