sample_ID	date	tank	pH	pH_date	metric	um
006	20190123	1	low	20190123_low	total.area..um.	18778.779
13	20190123	3	ambient	20190123_ambient	total.area..um.	16750.968
17	20190123	3	ambient	20190123_ambient	total.area..um.	17297.868
028	20190123	2	low	20190123_low	total.area..um.	15082.445
034	20190123	2	low	20190123_low	total.area..um.	16247.972
045	20190123	4	ambient	20190123_ambient	total.area..um.	16454.019
050	20190123	4	ambient	20190123_ambient	total.area..um.	15833.989
052	20190123	4	ambient	20190123_ambient	total.area..um.	17182.394
6	20190221	3	ambient	20190221_ambient	total.area..um.	17961.684
7	20190221	3	ambient	20190221_ambient	total.area..um.	18160.503
8	20190221	3	ambient	20190221_ambient	total.area..um.	15572.092
009	20190221	1	low	20190221_low	total.area..um.	16351.713
14	20190221	3	ambient	20190221_ambient	total.area..um.	23912.529
015	20190221	1	low	20190221_low	total.area..um.	18510.524
025	20190221	2	low	20190221_low	total.area..um.	18711.818
053	20190221	4	ambient	20190221_ambient	total.area..um.	17939.511
057	20190221	4	ambient	20190221_ambient	total.area..um.	24009.19
059	20190221	4	ambient	20190221_ambient	total.area..um.	15432.722
060	20190221	4	ambient	20190221_ambient	total.area..um.	22910.602
006	20190123	1	low	20190123_low	number.of.eggs	239
13	20190123	3	ambient	20190123_ambient	number.of.eggs	226
17	20190123	3	ambient	20190123_ambient	number.of.eggs	285
028	20190123	2	low	20190123_low	number.of.eggs	295
034	20190123	2	low	20190123_low	number.of.eggs	274
045	20190123	4	ambient	20190123_ambient	number.of.eggs	299
050	20190123	4	ambient	20190123_ambient	number.of.eggs	283
052	20190123	4	ambient	20190123_ambient	number.of.eggs	328
6	20190221	3	ambient	20190221_ambient	number.of.eggs	240
7	20190221	3	ambient	20190221_ambient	number.of.eggs	287
8	20190221	3	ambient	20190221_ambient	number.of.eggs	208
009	20190221	1	low	20190221_low	number.of.eggs	238
14	20190221	3	ambient	20190221_ambient	number.of.eggs	282
015	20190221	1	low	20190221_low	number.of.eggs	318
025	20190221	2	low	20190221_low	number.of.eggs	295
053	20190221	4	ambient	20190221_ambient	number.of.eggs	256
057	20190221	4	ambient	20190221_ambient	number.of.eggs	171
059	20190221	4	ambient	20190221_ambient	number.of.eggs	246
060	20190221	4	ambient	20190221_ambient	number.of.eggs	273
006	20190123	1	low	20190123_low	egg.area..based.on.ind.eggs.	1091.604
13	20190123	3	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	1351.594
17	20190123	3	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2280.21
028	20190123	2	low	20190123_low	egg.area..based.on.ind.eggs.	1938.46
034	20190123	2	low	20190123_low	egg.area..based.on.ind.eggs.	1108.403
045	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2576.88
050	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2146.215
052	20190123	4	ambient	20190123_ambient	egg.area..based.on.ind.eggs.	2365.852
6	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2654.261
7	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2231.857
8	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1246.028
009	20190221	1	low	20190221_low	egg.area..based.on.ind.eggs.	2563.86
14	20190221	3	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	3474.467
015	20190221	1	low	20190221_low	egg.area..based.on.ind.eggs.	3031.44
025	20190221	2	low	20190221_low	egg.area..based.on.ind.eggs.	2007.343
053	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1324.51
057	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	1201.554
059	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	3683.471
060	20190221	4	ambient	20190221_ambient	egg.area..based.on.ind.eggs.	2606.992
006	20190123	1	low	20190123_low	mean.egg.size	4.567380753
13	20190123	3	ambient	20190123_ambient	mean.egg.size	5.980504425
17	20190123	3	ambient	20190123_ambient	mean.egg.size	8.000736842
028	20190123	2	low	20190123_low	mean.egg.size	6.571050847
034	20190123	2	low	20190123_low	mean.egg.size	4.045266423
045	20190123	4	ambient	20190123_ambient	mean.egg.size	8.618327759
050	20190123	4	ambient	20190123_ambient	mean.egg.size	7.583798587
052	20190123	4	ambient	20190123_ambient	mean.egg.size	7.212963415
6	20190221	3	ambient	20190221_ambient	mean.egg.size	11.05942083
7	20190221	3	ambient	20190221_ambient	mean.egg.size	7.776505226
8	20190221	3	ambient	20190221_ambient	mean.egg.size	5.990519231
009	20190221	1	low	20190221_low	mean.egg.size	10.77252101
14	20190221	3	ambient	20190221_ambient	mean.egg.size	12.32080496
015	20190221	1	low	20190221_low	mean.egg.size	9.532830189
025	20190221	2	low	20190221_low	mean.egg.size	6.804552542
053	20190221	4	ambient	20190221_ambient	mean.egg.size	5.173867188
057	20190221	4	ambient	20190221_ambient	mean.egg.size	7.026631579
059	20190221	4	ambient	20190221_ambient	mean.egg.size	14.97345935
060	20190221	4	ambient	20190221_ambient	mean.egg.size	9.549421245
006	20190123	1	low	20190123_low	sd.egg.size	3.222659024
13	20190123	3	ambient	20190123_ambient	sd.egg.size	3.426167806
17	20190123	3	ambient	20190123_ambient	sd.egg.size	5.696372708
028	20190123	2	low	20190123_low	sd.egg.size	5.081042594
034	20190123	2	low	20190123_low	sd.egg.size	2.564964922
045	20190123	4	ambient	20190123_ambient	sd.egg.size	6.490392324
050	20190123	4	ambient	20190123_ambient	sd.egg.size	6.664831659
052	20190123	4	ambient	20190123_ambient	sd.egg.size	5.410701246
6	20190221	3	ambient	20190221_ambient	sd.egg.size	5.48963198
7	20190221	3	ambient	20190221_ambient	sd.egg.size	5.657008109
8	20190221	3	ambient	20190221_ambient	sd.egg.size	4.953350298
009	20190221	1	low	20190221_low	sd.egg.size	6.116506302
