Meas_num,Date,Label,ID,Treatment,Area,acini_segment,type,hue,saturation,brightness
1,20190123,20190123-1-10X.jpg,1,Ambient,456.384,A,total_area,NA,NA,NA
2,20190123,20190123-1-10X.jpg,1,Ambient,18,A,lumen,198:255,0.:255,68:255
3,20190123,20190123-1-10X.jpg,1,Ambient,42.427,A,zoa,158:185,195:255,58:255
4,20190123,20190123-1-10X.jpg,1,Ambient,355.198,A,cytes_zoa,158:185,88:255,58:255
1,20190123,20190123-1-10X.jpg,1,Ambient,192.375,B,total_area,NA,NA,NA
2,20190123,20190123-1-10X.jpg,1,Ambient,0,B,lumen,NA,NA,NA
3,20190123,20190123-1-10X.jpg,1,Ambient,0,B,zoa,NA,NA,NA
4,20190123,20190123-1-10X.jpg,1,Ambient,172.071,B,cytes_zoa,109:197,88:255,58:255
1,20190123,20190123-1-10X.jpg,1,Ambient,411.344,C,total_area,NA,NA,NA
2,20190123,20190123-1-10X.jpg,1,Ambient,16.066,C,lumen,198:255,93:175,58:200
3,20190123,20190123-1-10X.jpg,1,Ambient,9.16,C,zoa,158:185,202:255,58:172
4,20190123,20190123-1-10X.jpg,1,Ambient,285.161,C,cytes_zoa,158:185,88:255,58:255
1,20190123,20190123-1-10X.jpg,1,Ambient,123.285,D,total_area,NA,NA,NA
2,20190123,20190123-1-10X.jpg,1,Ambient,2.615,D,lumen,198:255,0.:255,68:255
3,20190123,20190123-1-10X.jpg,1,Ambient,6.33,D,zoa,158:185,195:255,58:255
4,20190123,20190123-1-10X.jpg,1,Ambient,66.853,D,cytes_zoa,158:185,154:255,58:255
1,20190123,20190123-003-10X.jpg,_003,Low,374.082,A,total_area,NA,NA,NA
2,20190123,20190123-003-10X.jpg,_003,Low,22.972,A,lumen,198:255,0.:255,68:255
3,20190123,20190123-003-10X.jpg,_003,Low,25.585,A,zoa,158:185,195:255,58:203
4,20190123,20190123-003-10X.jpg,_003,Low,255.264,A,cytes_zoa,158:185,128:255,58:255
1,20190123,20190123-003-10X.jpg,_003,Low,479.183,B,total_area,NA,NA,NA
2,20190123,20190123-003-10X.jpg,_003,Low,50.254,B,lumen,198:255,73:255,55:255
3,20190123,20190123-003-10X.jpg,_003,Low,51.659,B,zoa,159:180,195:255,145:216
4,20190123,20190123-003-10X.jpg,_003,Low,280.698,B,cytes_zoa,109:197,128:255,58:255
1,20190123,20190123-003-10X.jpg,_003,Low,231.085,C,total_area,NA,NA,NA
2,20190123,20190123-003-10X.jpg,_003,Low,6.122,C,lumen,198:255,73:255,55:255
3,20190123,20190123-003-10X.jpg,_003,Low,11.78,C,zoa,159:180,195:255,145:210
4,20190123,20190123-003-10X.jpg,_003,Low,156.985,C,cytes_zoa,109:197,128:255,58:255
