"PreSens Measurement Studio 2","2.1.0.443",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"01/03/2019","16:06:26","1","default","181955857","OXY_CH_1","0.000","min","211.410","μmol/L","Humid","24.702","deg","364744","µV","11.467","°C","1009.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292354.27","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:29","1","default","181955857","OXY_CH_1","0.056","min","211.393","μmol/L","Humid","24.703","deg","364709","µV","11.467","°C","1009.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292339.81","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:29","2","default","105088600","OXY_CH_2","0.057","min","196.073","μmol/L","Humid","25.615","deg","114113","µV","11.485","°C","1008.000","hPa","28.5","pmil","0","55.510","deg","20.000","°C","240.600","μmol/L","22.130","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","25.38","-1","38.10","316010.90","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-029","6/6/2018 9:06:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:32","2","default","105088600","OXY_CH_2","0.107","min","196.025","μmol/L","Humid","25.618","deg","114120","µV","11.485","°C","1008.000","hPa","28.5","pmil","0","55.510","deg","20.000","°C","240.600","μmol/L","22.130","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","25.38","-1","38.10","315975.41","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-029","6/6/2018 9:06:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:32","1","default","181955857","OXY_CH_1","0.107","min","211.398","μmol/L","Humid","24.705","deg","364686","µV","11.460","°C","1009.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292316.22","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:32","3","default","683778942","OXY_CH_3","0.114","min","259.954","μmol/L","Humid","22.771","deg","154461","µV","11.472","°C","1008.000","hPa","28.5","pmil","0","55.520","deg","20.000","°C","240.600","μmol/L","22.590","deg","20.000","°C","985.000","hPa","0.857","-0.01834","0.000374","-9E-05","0","12.4","Humid","27.30","0","43.40","223323.15","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171220-001","6/6/2018 9:12:01 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:35","3","default","683778942","OXY_CH_3","0.156","min","259.860","μmol/L","Humid","22.773","deg","154485","µV","11.478","°C","1008.000","hPa","28.5","pmil","0","55.520","deg","20.000","°C","240.600","μmol/L","22.590","deg","20.000","°C","985.000","hPa","0.857","-0.01834","0.000374","-9E-05","0","12.4","Humid","27.30","0","43.40","223305.93","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171220-001","6/6/2018 9:12:01 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:35","1","default","181955857","OXY_CH_1","0.156","min","211.300","μmol/L","Humid","24.706","deg","364673","µV","11.473","°C","1009.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292310.81","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:35","2","default","105088600","OXY_CH_2","0.156","min","195.993","μmol/L","Humid","25.620","deg","114110","µV","11.485","°C","1008.000","hPa","28.5","pmil","0","55.510","deg","20.000","°C","240.600","μmol/L","22.130","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","25.38","-1","38.10","315979.29","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-029","6/6/2018 9:06:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:35","4","default","115720809","OXY_CH_4","0.161","min","209.844","μmol/L","Humid","24.821","deg","136849","µV","11.525","°C","1008.000","hPa","28.5","pmil","0","55.550","deg","20.000","°C","240.600","μmol/L","22.170","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","28.70","0","67.60","314547.39","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-030","6/6/2018 9:17:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:38","3","default","683778942","OXY_CH_3","0.206","min","259.838","μmol/L","Humid","22.774","deg","154471","µV","11.478","°C","1008.000","hPa","28.5","pmil","0","55.520","deg","20.000","°C","240.600","μmol/L","22.590","deg","20.000","°C","985.000","hPa","0.857","-0.01834","0.000374","-9E-05","0","12.4","Humid","27.30","0","43.40","223306.39","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171220-001","6/6/2018 9:12:01 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:38","1","default","181955857","OXY_CH_1","0.207","min","211.372","μmol/L","Humid","24.704","deg","364672","µV","11.467","°C","1008.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292301.83","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:38","4","default","115720809","OXY_CH_4","0.207","min","209.723","μmol/L","Humid","24.828","deg","136845","µV","11.525","°C","1008.000","hPa","28.5","pmil","0","55.550","deg","20.000","°C","240.600","μmol/L","22.170","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","28.70","0","67.60","314524.69","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-030","6/6/2018 9:17:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:38","2","default","105088600","OXY_CH_2","0.207","min","195.789","μmol/L","Humid","25.628","deg","114137","µV","11.497","°C","1008.000","hPa","28.5","pmil","0","55.510","deg","20.000","°C","240.600","μmol/L","22.130","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","25.38","-1","38.10","315967.19","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-029","6/6/2018 9:06:10 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:41","5","default","430616078","OXY_CH_5","0.254","min","229.695","μmol/L","Humid","24.387","deg","174869","µV","11.574","°C","1008.000","hPa","28.5","pmil","0","55.570","deg","20.000","°C","240.600","μmol/L","22.740","deg","20.000","°C","985.000","hPa","0.857","-0.01834","0.000374","-9E-05","0","12.4","Humid","36.40","0","83.10","290554.28","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171220-003","6/6/2018 9:22:30 PM","0000-00","0","no battery","V"
"01/03/2019","16:06:41","1","default","181955857","OXY_CH_1","0.257","min","211.320","μmol/L","Humid","24.707","deg","364645","µV","11.467","°C","1008.000","hPa","30.0","pmil","0","55.770","deg","20.000","°C","240.600","μmol/L","22.240","deg","20.000","°C","971.000","hPa","0.826","-0.01532","0.000401","-0.00012","0","11.08","Humid","245.98","3","75.70","292282.16","SABD0002000012","AAV2.0.0.13","2.1.0.443","PSt7-10","171027-005","6/6/2018 8:53:38 PM","0000-00","0","no battery","V"
