Date,Trial,Chamber,Channel,Animal,Tank,Treatment,PVC number,PVC vol. (mL),Animal vol. (mL)
12/12/18,1,1,1,6,1,low,NA,200,1100
12/12/18,1,7,7,2,1,low,NA,250,1125
12/12/18,1,6,6,11,1,low,NA,150,1180
12/12/18,1,9,9,14,1,low,NA,175,900
12/12/18,1,2,2,2,3,amb,NA,250,1500
12/12/18,1,3,3,3,3,amb,NA,300,1200
12/12/18,1,5,5,9,3,amb,NA,180,1000
12/12/18,1,4,4,14,3,amb,NA,230,1000
12/12/18,1,8,8,control,1,low,,NA,NA
12/12/18,1,control,10,control,3,amb,,NA,NA
1/3/18,1,1,1,14,1,low,6,125,1000
1/3/18,1,2,2,control,3,ambient,4,250,NA
1/3/18,1,3,3,control,1,low,8,75,NA
1/3/18,1,5,5,2,3,ambient,2,125,1250
1/3/18,1,6,6,14,3,ambient,3,250,750
1/3/18,1,7,7,6,1,low,7,75,1250
1/3/18,1,8,8,11,1,low,5,250,1750
1/3/18,1,9,4,3,3,ambient,1,250,1000
1/3/18,2,1,1,2,1,low,3,250,1250
1/3/18,2,2,2,control,3,ambient,6,125,NA
1/3/18,2,3,3,control,1,low,7,75,NA
1/3/18,2,5,5,12,3,ambient,2,125,1250
1/3/18,2,6,6,11,3,ambient,4,250,1250
1/3/18,2,7,7,3,1,low,5,250,1500
1/3/18,2,8,8,18,1,low,8,75,750
1/3/18,2,9,4,9,3,ambient,1,250,1000
