Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T875
Scope 1/1, Sample 1/7 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,163.1,17.1,NaN,,
0.0010,1,163.0,17.1,0.0010,,
0.0025,2,163.1,17.1,0.0015,,
0.0050,3,163.0,17.1,0.0025,,
0.0090,4,163.0,17.1,0.0035,,
0.0150,5,163.0,17.1,0.0055,,
0.0235,6,163.0,17.1,0.0075,,
0.0320,7,163.0,17.1,0.0075,,
0.0405,8,163.0,17.1,0.0085,,
0.0480,9,163.0,17.1,0.0070,,
0.0565,10,163.0,17.1,0.0075,,
0.0650,11,158.5,17.1,0.0075,,
0.0735,12,166.7,17.1,0.0075,,
0.0820,13,161.0,17.1,0.0075,,
0.0895,14,164.9,17.1,0.0075,,
0.0980,15,149.3,17.1,0.0075,,
0.1060,16,167.8,17.1,0.0075,,
0.1145,17,166.2,17.1,0.0075,,
0.1230,18,166.2,17.1,0.0075,,
0.1315,19,173.2,17.1,0.0075,,
0.1390,20,163.6,17.1,0.0075,,
0.1475,21,168.3,17.1,0.0075,,
0.1560,22,129.0,17.1,0.0075,,
0.1645,23,95.9,17.1,0.0075,,
0.1725,24,87.3,17.1,0.0075,,
0.1810,25,62.1,17.1,0.0075,,
0.1885,26,65.9,17.1,0.0075,,
0.1970,27,71.4,17.1,0.0075,,
0.2055,28,68.3,17.1,0.0075,,
0.2140,29,64.1,17.1,0.0075,,
0.2225,30,66.6,17.1,0.0075,,
0.2310,31,60.1,17.1,0.0075,,
0.2385,32,56.3,17.1,0.0075,,
0.2470,33,56.1,17.1,0.0075,,
0.2555,34,51.2,17.1,0.0075,,
0.2635,35,51.8,17.1,0.0075,,
0.2720,36,51.7,17.1,0.0075,,
0.2805,37,50.9,17.1,0.0075,,
0.2880,38,50.3,17.1,0.0070,,
0.2965,39,49.9,17.1,0.0075,,
0.3050,40,49.4,17.1,0.0075,,
0.3135,41,49.1,17.1,0.0075,,
0.3220,42,48.8,17.1,0.0075,,
0.3305,43,48.5,17.1,0.0085,,
0.3380,44,48.2,17.2,0.0070,,
0.3465,45,48.0,17.1,0.0075,,
0.3545,46,47.8,17.1,0.0075,,
0.3630,47,49.4,17.1,0.0075,,
0.3715,48,47.5,17.2,0.0075,,
0.3800,49,48.2,17.2,0.0085,,
0.3875,50,47.4,17.2,0.0070,,
0.3960,51,47.6,17.2,0.0075,,
0.4045,52,47.5,17.2,0.0075,,
0.4130,53,47.5,17.2,0.0075,,
0.4210,54,47.7,17.2,0.0075,,
0.4290,55,48.0,17.2,0.0080,,
0.4370,56,48.3,17.2,0.0075,,
0.4455,57,50.8,17.2,0.0075,,
0.4540,58,48.3,17.2,0.0075,,
0.4625,59,48.9,17.2,0.0075,,
0.4710,60,49.2,17.2,0.0075,,
0.4785,61,49.4,17.2,0.0075,,
0.4870,62,49.8,17.2,0.0075,,
0.4955,63,50.1,17.2,0.0075,,
0.5035,64,50.4,17.2,0.0075,,
0.5120,65,50.6,17.2,0.0075,,
0.5205,66,51.0,17.2,0.0075,,
