Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T899
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-51.1,18.7,NaN,,
0.0005,1,-51.4,18.7,0.0005,,
0.0025,2,-51.4,18.7,0.0020,,
0.0050,3,-51.5,18.7,0.0025,,
0.0090,4,-51.4,18.7,0.0035,,
0.0150,5,-51.3,18.7,0.0055,,
0.0235,6,-51.0,18.7,0.0075,,
0.0310,7,-50.3,18.7,0.0075,,
0.0395,8,-49.5,18.7,0.0085,,
0.0480,9,-48.4,18.7,0.0075,,
0.0565,10,-47.0,18.7,0.0075,,
0.0650,11,-45.7,18.7,0.0075,,
0.0735,12,-44.3,18.7,0.0085,,
0.0810,13,-42.9,18.7,0.0075,,
0.0895,14,-41.3,18.7,0.0085,,
0.0980,15,-39.5,18.7,0.0075,,
0.1060,16,-37.5,18.7,0.0075,,
0.1145,17,-35.4,18.7,0.0075,,
0.1220,18,-33.4,18.7,0.0075,,
0.1305,19,-30.9,18.7,0.0085,,
0.1390,20,-28.3,18.7,0.0085,,
0.1475,21,-25.5,18.7,0.0075,,
0.1560,22,-22.8,18.7,0.0075,,
0.1645,23,-20.0,18.7,0.0075,,
0.1720,24,-17.7,18.7,0.0075,,
0.1805,25,-15.1,18.7,0.0085,,
0.1890,26,-12.8,18.7,0.0075,,
0.1970,27,-10.6,18.7,0.0075,,
0.2055,28,-8.4,18.7,0.0075,,
0.2140,29,-6.4,18.7,0.0075,,
0.2215,30,-4.8,18.7,0.0075,,
0.2300,31,-2.8,18.8,0.0085,,
0.2385,32,-0.6,18.8,0.0075,,
0.2470,33,0.0,18.7,0.0075,,
0.2555,34,1.2,18.8,0.0075,,
0.2635,35,2.3,18.8,0.0075,,
0.2715,36,3.2,18.8,0.0080,,
0.2795,37,4.2,18.8,0.0080,,
0.2880,38,5.3,18.8,0.0085,,
0.2965,39,6.3,18.8,0.0075,,
0.3050,40,7.3,18.8,0.0075,,
0.3135,41,8.5,18.8,0.0075,,
0.3210,42,9.2,18.8,0.0075,,
0.3295,43,10.2,18.8,0.0085,,
0.3380,44,11.3,18.8,0.0075,,
0.3465,45,12.7,18.8,0.0075,,
0.3545,46,13.9,18.8,0.0075,,
0.3625,47,14.4,18.8,0.0080,,
0.3705,48,15.1,18.8,0.0080,,
0.3790,49,15.9,18.8,0.0085,,
0.3875,50,17.0,18.8,0.0075,,
0.3960,51,17.9,18.8,0.0075,,
0.4045,52,18.7,18.8,0.0075,,
0.4120,53,19.3,18.8,0.0075,,
0.4205,54,20.1,18.8,0.0085,,
0.4290,55,21.0,18.8,0.0085,,
0.4370,56,22.2,18.8,0.0075,,
0.4455,57,23.2,18.8,0.0075,,
0.4540,58,24.1,18.8,0.0075,,
