Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,5,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T900,,,,,
Scope 1/1, Sample 1/2 (TANK1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-7.2,15.2,NaN,,
0.001,1,-7.4,15.2,0.001,,
0.0025,2,-7.5,15.2,0.0015,,
0.005,3,-7.5,15.2,0.0025,,
0.0095,4,-7.5,15.2,0.0035,,
0.016,5,-7.1,15.2,0.006,,
0.0235,6,-6.4,15.2,0.007,,
0.032,7,-5.3,15.2,0.0075,,
0.0405,8,-3.7,15.2,0.0075,,
0.049,9,-1.5,15.2,0.007,,
0.0575,10,0,15.2,0.007,,
0.065,11,1.8,15.2,0.007,,
0.0735,12,3.4,15.2,0.0075,,
0.0815,13,5,15.2,0.0075,,
0.09,14,6.5,15.2,0.0075,,
0.0985,15,7.8,15.2,0.007,,
0.107,16,9.1,15.2,0.0075,,
0.1145,17,10.2,15.2,0.007,,
0.123,18,11.2,15.2,0.0075,,
0.1315,19,12.1,15.2,0.0075,,
0.14,20,13.2,15.2,0.0075,,
0.1485,21,14.1,15.2,0.007,,
0.156,22,14.9,15.2,0.007,,
0.1645,23,15.5,15.2,0.0075,,
0.1725,24,16.1,15.2,0.0075,,
0.181,25,16.8,15.2,0.0075,,
0.1895,26,17.5,15.2,0.0075,,
0.198,27,18.2,15.2,0.007,,
0.2055,28,18.9,15.2,0.007,,
0.214,29,19.5,15.2,0.0075,,
0.2225,30,20.1,15.2,0.0075,,
0.231,31,20.8,15.2,0.0075,,
0.2395,32,21.9,15.2,0.007,,
0.2475,33,22.7,15.2,0.0065,,
0.2555,34,23.4,15.2,0.0075,,
0.2635,35,24.2,15.3,0.0075,,
0.272,36,24.8,15.3,0.0075,,
0.2805,37,25.3,15.3,0.0075,,
0.289,38,25.9,15.3,0.007,,
0.2975,39,26.3,15.3,0.007,,
0.305,40,26.7,15.3,0.007,,
0.3135,41,27.2,15.3,0.0075,,
0.3215,42,28,15.3,0.0075,,
0.33,43,28.5,15.3,0.0075,,
0.3385,44,29.2,15.3,0.0075,,
0.347,45,29.9,15.3,0.007,,
0.3555,46,30.5,15.3,0.0075,,
0.363,47,31,15.3,0.007,,
0.3715,48,31.6,15.3,0.0075,,
0.38,49,32.2,15.3,0.0075,,
0.388,50,32.8,15.3,0.0075,,
0.3965,51,33.3,15.3,0.007,,
0.405,52,34.2,15.3,0.0075,,
0.4125,53,34.7,15.3,0.007,,
0.421,54,35.6,15.3,0.0075,,
