Sample.ID,TA,Mass
20181030_JUNK,2119.793775,60.242
20181030_1A,2108.636517,59.9062
20181030_1B,2108.664707,59.4857
20181030_2A,2107.014557,59.647
20181030_2B,2105.609519,57.442
20181030_4A,2109.77203,60.4668
20181030_4B,2109.868655,59.448
20181030_JUNK,2090.88134,59.7
20181030_CRM1,2266.724359,59.436
20181030_CRM2,2260.646513,60.2884
20181102_JUNK,2116.447001,59.774
20181102_CRM1,2254.059432,59.979
20181102_CRM2,2250.060674,59.6699
20181102_1,2099.129784,60.259
20181102_2,2107.230153,59.126
20181107_JUNK,2119.439106,60.6675
20181107_CRM1,2252.673319,59.7529
20181107_CRM2,2252.10332,60.1326
20181107_4A,2106.219707,59.2658
20181107_4B,2096.869369,59.1847
20181107_3A,2099.551545,59.1809
20181107_3B,2095.276991,59.5565
20181107_2A,2086.356025,59.2827
20181107_2B,2087.047528,59.4807
20181107_1A,2088.554917,59.3975
20181107_1B,2087.664941,59.4143
20181112_JUNK,2127.641382,59.4948
20181112_CRM1,2257.618836,59.4355
20181112_CRM2,2290.513357,55.3889
20181112_1A,2104.762628,60.8478
20181112_1B,2102.901619,60.0738
20181112_2A,2104.59442,60.0873
20181112_2B,2107.096569,60.6307
20181112_3A,2102.421579,60.1065
20181112_3B,2102.812627,59.1416
20181112_4A,2101.755082,60.4344
20181112_4B,2104.743178,59.342
20181116_JUNK,2123.75847,60.03
20181116_CRM1,2248.10582,59.4096
20181116_CRM2,2244.697933,59.192
20181116_1A,2126.533608,59.5082
20181116_1B,2125.049935,59.1467
20181116_2A,2124.740979,59.5347
20181116_2B,2128.537157,60.425
20181116_3A,2112.514479,60.6533
20181116_3B,2114.976633,59.3037
20181116_4A,2110.329215,59.7204
20181116_4B,2111.015914,60.6313
20181119_JUNK,2141.684548,59.7332
20181119_CRM1,2242.294907,60.0357
20181119_CRM2,2242.197051,59.5327
20181119_1A,2127.046572,59.925
20181119_1B,2125.140172,59.742
20181119_2A,2129.065174,60.4666
20181119_2B,2128.165126,59.6855
20181119_3A,2105.861399,60.4974
20181119_3B,2103.509902,59.1611
20181119_4A,2104.064555,59.371
20181119_4B,2106.767256,59.744
20181128_JUNK,2131.199132,59.5517
20181128_CRM1,2246.425851,59.257
20181128_CRM2,2244.575359,59.3588
20181128_1A,2103.175231,60.0733
20181128_1B,2110.579732,60.246
20181128_2A,2105.492236,60.9941
20181128_2B,2105.754832,60.6754
20181128_3A,2091.509742,59.5468
20181128_3B,2091.311737,60.3421
20181128_4A,2092.557035,59.9515
20181128_4B,2092.287199,60.1214
20181205_JUNK,2957.628796,59.1495
20181205_CRM1,2252.210137,59.3071
20181205_CRM2,2247.115855,59.487
20181205_1A,2135.632801,59.437
20181205_1B,2138.473148,59.445
20181205_2A,2142.025941,59.7984
20181205_2B,2141.351622,59.4786
20181205_3A,2115.362531,59.571
20181205_3B,2115.963298,59.4894
20181205_4A,2112.525909,59.9602
20181205_4B,2110.385734,59.0636
20181205_5A,2270.431946,59.5317
20181205_5B,2267.049647,59.2047
20181205_6A,2146.195689,59.9472
20181205_6B,2141.205377,59.0694
20181212_JUNK,2123.874429,59.2108
20181212_CRM1,2206.1765,59.2683
20181212_CRM2,2208.961606,59.2299
20181212_1A,2037.814174,60.355
20181212_1B,2035.587127,60.6429
20181212_2A,2043.712372,59.0935
20181212_2B,2040.735694,60.607
20181212_3A,2038.459156,59.9926
20181212_3B,2033.351495,60.335
20181212_4A,2033.320315,60.9605
20181212_4B,2052.44683,59.1907
20181212_5A,2062.186721,59.684
20181212_5B,2060.648488,60.7747
20181212_6A,2041.438457,59.8881
20181212_6B,2035.16302,59.3664
20181219_1A,2013.655185,60.2324
20181219_1B,2009.648435,59.3514
20181219_2A,2009.076821,59.4953
20181219_2B,2003.718174,59.452
20181219_3A,1991.993656,60.524
20181219_3B,1999.845578,59.5237
20181219_4A,2007.279252,59.1018
20181219_4B,2007.879068,59.8317
20181219_5A,2032.353063,60.9163
20181219_5B,2029.152326,59.424
20181219_6A,2002.699821,60.2801
20181219_6,2002.561865,59.4677
20190102_3,1992.375713,59.033
20190102_6,1993.265048,59.349
20190102_1,1995.625872,59.913
20190102_5,2025.19709,59.036
20190102_2,2003.288521,59.422
20190102_4,1994.562195,59.495
20190103_JUNK,2139.627726,59.2108
20190103_CRM1,2206.809675,59.2683
20190103_CRM2,2216.97609,59.2299
20190103_1A,2002.559261,59.9134
20190103_1B,1998.691933,60.7444
20190103_2A,2010.633377,60.4081
20190103_2B,2012.53205,59.7622
20190103_3A,1992.258576,59.5117
20190103_3B,1994.738321,59.5071
20190103_4A,1992.051033,60.611
20190103_4B,1992.175652,59.815
20190103_5A,2025.660455,59.684
20190103_5B,1999.05501,60.7747
20190103_6A,2007.2859,59.8881
20190103_6B,2062.212287,59.3644
20190106_1A,1957.48483,59.204
20190106_1B,1952.678907,59.9458
20190106_4A,1942.978725,59.6229
20190106_4B,1940.569001,59.0973
20190106_5A,1951.836128,59.253
20190106_5B,1951.990538,59.656
20190106_6A,1942.104249,60.3232
20190106_6B,1941.441562,60.7782
20190114_1A,2046.133209,59.204
20190114_1B,2014.899543,59.9458
20190114_4A,2011.512114,59.6229
20190114_4B,2009.859613,59.0973
20190114_5A,2023.478152,59.253
20190114_5B,2005.280309,59.656
20190114_6A,1964.342107,60.3232
20190114_6B,1957.951426,60.7782
20190114_5A,2033.868944,59.8796
20190114_5B,2029.546299,59.6166
20190114_6A,2014.86325,59.3451
20190114_6B,2011.140416,59.5084
20190121_1B,2005.967559,59.7625
20190121_2B,2000.384148,59.4236
20190121_3B,1990.356735,60.0577
20190121_4B,1961.112651,60.4811
20190121_5B,2002.056744,60.9668
20190121_6B,1992.237832,60.7604
20190128_1B,2052.605561,60.3917
20190128_2B,2034.633565,60.816
20190128_3B,2027.114534,59.3404
20190128_4B,2026.680002,60.4211
20190128_5B,2046.338209,60.4027
20190128_6B,2031.958384,60.8189
20190131_1B,2018.336742,60.4124
20190131_4B,2007.723258,60.6286
20190131_3B,2006.384886,60.6416
20190131_2B,2005.876857,60.5418
20190205_1B,1992.190558,60.7418
20190205_3B,1989.280939,60.5921
20190205_4B,1987.682298,60.542
20190205_2B,1988.936868,59.8558
20190209_1B,2011.286682,60.569
20190209_2B,2002.427519,60.1066
20190209_3B,2001.195307,60.3641
20190209_4B,2005.712695,60.5738
20190218_3B,2011.36516,60.8637
20190218_2B,2004.004129,60.0766
20190218_5B,2004.049894,60.2098
20190218_6B,2006.657692,60.036
20190218_1B,2007.365297,59.315
20190218_4B,2007.023882,60.0501
20190214_3B,2004.375981,59.535
20190214_5B,2004.892616,60.5369
20190214_4B,2005.547331,60.3835
20180214_2B,2009.180634,59.263
20180214_1B,2013.651191,60.958
